Declaring exchange
 [*] Waiting for logs. To exit press CTRL+C, sleep time [ms]:  100.0
 [x] Sent {"time": "2023-05-23T14:33:13.570+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.673+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.775+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.877+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:13.979+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.082+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.184+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.287+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.388+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.489+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.591+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.692+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.794+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.896+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:14.999+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.100+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.202+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.303+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.404+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.505+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.607+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.709+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.810+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:15.911+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.014+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.115+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.217+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.319+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.420+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.521+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.623+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.724+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.826+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:16.927+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.029+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.130+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.232+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.333+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.435+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.536+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.638+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.739+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.840+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:17.942+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.053+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.155+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.258+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.360+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.463+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.565+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.667+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.768+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.870+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:18.973+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.074+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.178+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.281+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.382+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.484+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.586+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.689+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.790+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.893+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:19.997+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.100+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.205+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.310+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.412+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.516+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.619+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.722+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.824+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:20.926+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.029+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.131+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.233+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.334+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.436+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.539+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.642+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.744+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.848+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:21.949+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:22.056+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:22.158+02:00", "waiting": false, "processing": true}
 [x] Sent {"time": "2023-05-23T14:33:22.259+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.362+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.464+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.566+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.667+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.770+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.871+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:22.973+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.074+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.177+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.278+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.380+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.481+02:00", "waiting": false, "processing": false}
 [x] Sent {"time": "2023-05-23T14:33:23.582+02:00", "waiting": false, "processing": false}
